benchmark_id,model_id,category,n_rounds,mean_pct,population_sd_pct
pro618,expert_B_initial_rl,C,3,51.36054421768708,1.2726725805353543
pro618,expert_B_initial_rl,Full,3,53.398058252427184,1.0569535028190633
pro618,expert_B_second_repair_sft,A,3,55.05279034690799,1.1287050940494536
pro618,expert_B_second_repair_sft,B,3,58.872305140961856,1.3058056175807307
pro618,expert_B_second_repair_sft,C,3,54.42176870748299,2.1377219540776413
pro618,expert_B_second_repair_sft,Full,3,56.09492988133765,0.5339533407018145
pro618,expert_C_expanded_rl,A,3,54.751131221719454,1.6104190425386602
pro618,expert_C_expanded_rl,B,3,54.892205638474294,0.46905922466769484
pro618,expert_C_expanded_rl,C,3,56.97278911564626,0.9620500424306759
pro618,expert_C_expanded_rl,Full,3,55.50161812297735,0.6605959392619127
pro618,expert_C_first_repair_sft,A,3,54.29864253393665,1.279831278165699
pro618,expert_C_first_repair_sft,B,3,55.55555555555556,0.23452961233384742
pro618,expert_C_first_repair_sft,C,3,55.4421768707483,0.9620500424306759
pro618,expert_C_first_repair_sft,Full,3,55.070118662351675,0.33249266466930755
pro618,expert_C_initial_rl,A,3,54.44947209653092,1.7459784167104417
pro618,expert_C_initial_rl,B,3,55.55555555555556,1.2410140586314908
pro618,expert_C_initial_rl,C,3,52.55102040816327,1.102166785443512
pro618,expert_C_initial_rl,Full,3,54.20711974110032,0.2642383757047651
pro618,expert_C_second_repair_sft,A,3,54.751131221719454,2.422681508930469
pro618,expert_C_second_repair_sft,B,3,54.063018242122716,0.6205070293157439
pro618,expert_C_second_repair_sft,C,3,57.48299319727891,0.6363362902676774
pro618,expert_C_second_repair_sft,Full,3,55.39374325782093,0.6779830145618396
pro618,mopd,A,3,58.06938159879336,1.128705094049456
pro618,mopd,B,3,59.3698175787728,1.0222908794310082
pro618,mopd,C,3,56.63265306122449,1.1021667854435153
pro618,mopd,Full,3,58.036677454153185,0.20181539302988089
pro618,pooled,A,3,54.751131221719454,1.3320906284054084
pro618,pooled,B,3,56.71641791044776,1.0747497012284992
pro618,pooled,C,3,55.102040816326536,1.4430750636460155
pro618,pooled,Full,3,55.50161812297735,0.45767429203012683
swebench_multilingual,balanced,A,3,48.611111111111114,3.000342915929565
swebench_multilingual,balanced,B,3,56.0,3.265986323710904
swebench_multilingual,balanced,C,3,59.65909090909091,0.4639185118907521
swebench_multilingual,balanced,Full,3,57.0,1.1863420280034775
swebench_multilingual,balanced,UNASSIGNED,3,62.96296296296296,5.237828008789239
swebench_multilingual,base,A,3,44.907407407407405,3.6453740157462096
swebench_multilingual,base,B,3,56.0,3.265986323710904
swebench_multilingual,base,C,3,61.74242424242424,0.26784347772217465
swebench_multilingual,base,Full,3,56.22222222222222,0.6849348892187743
swebench_multilingual,base,UNASSIGNED,3,50.617283950617285,1.7459426695964164
swebench_multilingual,mopd,A,3,51.388888888888886,1.1340230290662865
swebench_multilingual,mopd,B,3,64.0,3.265986323710904
swebench_multilingual,mopd,C,3,61.74242424242424,0.26784347772217465
swebench_multilingual,mopd,Full,3,59.0,0.4714045207910317
swebench_multilingual,mopd,UNASSIGNED,3,56.79012345679012,6.295085819250352
swebench_multilingual,pooled,A,3,47.68518518518518,0.654728501098657
swebench_multilingual,pooled,B,3,53.333333333333336,8.219218670625303
swebench_multilingual,pooled,C,3,58.52272727272727,2.12594169703065
swebench_multilingual,pooled,Full,3,55.55555555555556,0.8314794192830977
swebench_multilingual,pooled,UNASSIGNED,3,59.25925925925926,5.237828008789239
