anon_instance_id,category,phase,n_successes,n_attempts,success_rate,infra_failure_count
TRN-1F1F399B2C65AC9A,A,repair_sft,2,4,0.5,0
TRN-1F5BE0AF79E59639,A,base,2,4,0.5,
TRN-1F5BE0AF79E59639,A,initial_rl,4,4,1.0,0
TRN-1F5BE0AF79E59639,A,repair_sft,3,4,0.75,0
TRN-201EFF58DBD210B7,A,base,1,4,0.25,
TRN-201EFF58DBD210B7,A,initial_rl,4,4,1.0,0
TRN-201EFF58DBD210B7,A,repair_sft,4,4,1.0,0
TRN-20E8FF0E5B65D890,A,base,1,4,0.25,
TRN-20E8FF0E5B65D890,A,initial_rl,0,4,0.0,0
TRN-20E8FF0E5B65D890,A,repair_sft,0,4,0.0,0
TRN-2240BF09EF66D3AB,A,base,3,4,0.75,
TRN-2240BF09EF66D3AB,A,initial_rl,4,4,1.0,0
TRN-2240BF09EF66D3AB,A,repair_sft,3,4,0.75,0
TRN-2286B985DE0F1547,A,base,1,4,0.25,
TRN-2286B985DE0F1547,A,initial_rl,2,4,0.5,0
TRN-2286B985DE0F1547,A,repair_sft,0,4,0.0,0
TRN-22C006EDB9EFA248,A,base,1,4,0.25,
TRN-22C006EDB9EFA248,A,initial_rl,0,4,0.0,0
TRN-22C006EDB9EFA248,A,repair_sft,4,4,1.0,0
TRN-2381D51A914ED3FC,A,base,1,4,0.25,
TRN-2381D51A914ED3FC,A,initial_rl,1,4,0.25,0
TRN-2381D51A914ED3FC,A,repair_sft,1,4,0.25,0
TRN-23AD702003B5AAA2,A,base,3,4,0.75,
TRN-23AD702003B5AAA2,A,initial_rl,3,4,0.75,0
TRN-23AD702003B5AAA2,A,repair_sft,2,4,0.5,0
TRN-244304E33DCD804C,A,base,1,4,0.25,
TRN-244304E33DCD804C,A,initial_rl,4,4,1.0,0
TRN-244304E33DCD804C,A,repair_sft,4,4,1.0,0
TRN-244E11737D9B24CF,A,base,2,4,0.5,
TRN-244E11737D9B24CF,A,initial_rl,0,4,0.0,0
TRN-244E11737D9B24CF,A,repair_sft,3,4,0.75,0
TRN-24726D7B2F26F253,A,base,1,4,0.25,
TRN-24726D7B2F26F253,A,initial_rl,1,4,0.25,0
TRN-24726D7B2F26F253,A,repair_sft,1,4,0.25,0
TRN-249C9534076F1560,A,base,1,4,0.25,
TRN-249C9534076F1560,A,initial_rl,0,4,0.0,0
TRN-249C9534076F1560,A,repair_sft,0,4,0.0,0
TRN-24A5C7F4EB3ADC2E,A,base,2,4,0.5,
TRN-24A5C7F4EB3ADC2E,A,initial_rl,0,4,0.0,0
TRN-24A5C7F4EB3ADC2E,A,repair_sft,3,4,0.75,0
TRN-24C8A71B38DDF1B5,A,base,2,4,0.5,
TRN-24C8A71B38DDF1B5,A,initial_rl,2,4,0.5,0
TRN-24C8A71B38DDF1B5,A,repair_sft,3,4,0.75,0
TRN-25114C633BEB93D5,A,base,1,4,0.25,
TRN-25114C633BEB93D5,A,initial_rl,0,4,0.0,0
TRN-25114C633BEB93D5,A,repair_sft,4,4,1.0,0
TRN-25F5E2DDA1371AA2,A,base,2,4,0.5,
TRN-25F5E2DDA1371AA2,A,initial_rl,3,4,0.75,0
TRN-25F5E2DDA1371AA2,A,repair_sft,1,4,0.25,0
TRN-261BF8BE1CF05169,A,base,1,4,0.25,
TRN-261BF8BE1CF05169,A,initial_rl,0,4,0.0,0
TRN-261BF8BE1CF05169,A,repair_sft,2,4,0.5,0
TRN-269F4AF6341FD8EF,A,base,1,4,0.25,
TRN-269F4AF6341FD8EF,A,initial_rl,1,4,0.25,0
TRN-269F4AF6341FD8EF,A,repair_sft,1,4,0.25,0
TRN-26D89C787775A532,A,base,1,4,0.25,
TRN-26D89C787775A532,A,initial_rl,0,4,0.0,0
TRN-26D89C787775A532,A,repair_sft,3,4,0.75,0
TRN-27783F06CDAA7C43,A,base,1,4,0.25,
TRN-27783F06CDAA7C43,A,initial_rl,3,4,0.75,0
TRN-27783F06CDAA7C43,A,repair_sft,3,4,0.75,0
TRN-281D48D1DB819EDB,A,base,2,4,0.5,
TRN-281D48D1DB819EDB,A,initial_rl,3,4,0.75,0
TRN-281D48D1DB819EDB,A,repair_sft,2,4,0.5,0
TRN-284B9D662BC1E176,A,base,0,4,0.0,
TRN-284B9D662BC1E176,A,initial_rl,0,4,0.0,0
TRN-284B9D662BC1E176,A,repair_sft,0,4,0.0,0
TRN-28A5693619C5BE4B,A,base,1,4,0.25,
TRN-28A5693619C5BE4B,A,initial_rl,1,4,0.25,0
TRN-28A5693619C5BE4B,A,repair_sft,2,4,0.5,0
TRN-29FDA14377880CB1,A,base,3,4,0.75,
TRN-29FDA14377880CB1,A,initial_rl,4,4,1.0,0
TRN-29FDA14377880CB1,A,repair_sft,4,4,1.0,0
TRN-2A003099702131DC,A,base,1,4,0.25,
TRN-2A003099702131DC,A,initial_rl,1,4,0.25,0
TRN-2A003099702131DC,A,repair_sft,0,4,0.0,0
TRN-2A519A49ED4E5285,A,base,1,4,0.25,
TRN-2A519A49ED4E5285,A,initial_rl,0,4,0.0,0
TRN-2A519A49ED4E5285,A,repair_sft,3,4,0.75,0
TRN-2A6954C03396A53B,A,base,1,4,0.25,
TRN-2A6954C03396A53B,A,initial_rl,1,4,0.25,0
TRN-2A6954C03396A53B,A,repair_sft,2,4,0.5,0
TRN-2B97461DBC1C600B,A,base,1,4,0.25,
TRN-2B97461DBC1C600B,A,initial_rl,0,4,0.0,0
TRN-2B97461DBC1C600B,A,repair_sft,3,4,0.75,0
TRN-2B982023F4AE79D2,A,base,1,4,0.25,
TRN-2B982023F4AE79D2,A,initial_rl,0,4,0.0,0
TRN-2B982023F4AE79D2,A,repair_sft,3,4,0.75,0
TRN-2CB97BF0A78D7138,A,base,1,4,0.25,
TRN-2CB97BF0A78D7138,A,initial_rl,2,4,0.5,0
TRN-2CB97BF0A78D7138,A,repair_sft,1,4,0.25,0
TRN-2CC503BBD7B96FD6,A,base,2,4,0.5,
TRN-2CC503BBD7B96FD6,A,initial_rl,0,4,0.0,0
TRN-2CC503BBD7B96FD6,A,repair_sft,3,4,0.75,0
TRN-2D28F0C51E879CE5,A,base,2,4,0.5,
TRN-2D28F0C51E879CE5,A,initial_rl,2,4,0.5,0
TRN-2D28F0C51E879CE5,A,repair_sft,2,4,0.5,0
TRN-2D534FB548F7C581,A,base,1,4,0.25,
TRN-2D534FB548F7C581,A,initial_rl,0,4,0.0,0
TRN-2D534FB548F7C581,A,repair_sft,0,4,0.0,0
TRN-2D970A7A9A503060,A,base,2,4,0.5,
TRN-2D970A7A9A503060,A,initial_rl,3,4,0.75,0
TRN-2D970A7A9A503060,A,repair_sft,3,4,0.75,0
TRN-2E089A32ADA02A88,A,base,2,4,0.5,
TRN-2E089A32ADA02A88,A,initial_rl,4,4,1.0,0
TRN-2E089A32ADA02A88,A,repair_sft,4,4,1.0,0
TRN-2F03B523DA233C1A,A,base,2,4,0.5,
TRN-2F03B523DA233C1A,A,initial_rl,1,4,0.25,0
TRN-2F03B523DA233C1A,A,repair_sft,2,4,0.5,0
TRN-2F14F31693F52D97,A,base,1,4,0.25,
TRN-2F14F31693F52D97,A,initial_rl,0,4,0.0,0
TRN-2F14F31693F52D97,A,repair_sft,1,4,0.25,0
TRN-2F35EC4D9A97330B,A,base,3,4,0.75,
TRN-2F35EC4D9A97330B,A,initial_rl,4,4,1.0,0
TRN-2F35EC4D9A97330B,A,repair_sft,3,4,0.75,0
TRN-2F9786AD1FBFD5FD,A,base,2,4,0.5,
TRN-2F9786AD1FBFD5FD,A,initial_rl,4,4,1.0,0
TRN-2F9786AD1FBFD5FD,A,repair_sft,3,4,0.75,0
TRN-306D51611F97D8F6,A,base,1,4,0.25,
TRN-306D51611F97D8F6,A,initial_rl,0,4,0.0,0
TRN-306D51611F97D8F6,A,repair_sft,0,4,0.0,0
TRN-30BC103C11BC9B91,A,base,0,4,0.0,
TRN-30BC103C11BC9B91,A,initial_rl,0,4,0.0,0
TRN-30BC103C11BC9B91,A,repair_sft,0,4,0.0,0
TRN-30D0E87B64BD1662,A,base,2,4,0.5,
TRN-30D0E87B64BD1662,A,initial_rl,3,4,0.75,0
TRN-30D0E87B64BD1662,A,repair_sft,3,4,0.75,0
TRN-31527E85B2DABBF2,A,base,2,4,0.5,
TRN-31527E85B2DABBF2,A,initial_rl,4,4,1.0,0
TRN-31527E85B2DABBF2,A,repair_sft,4,4,1.0,0
TRN-31D951385097101F,A,base,1,4,0.25,
TRN-31D951385097101F,A,initial_rl,3,4,0.75,0
TRN-31D951385097101F,A,repair_sft,3,4,0.75,0
TRN-325C4377EEF68A21,A,base,1,4,0.25,
TRN-325C4377EEF68A21,A,initial_rl,2,4,0.5,0
TRN-325C4377EEF68A21,A,repair_sft,2,4,0.5,0
TRN-330810C5D45AB9D2,A,base,2,4,0.5,
TRN-330810C5D45AB9D2,A,initial_rl,1,4,0.25,0
TRN-330810C5D45AB9D2,A,repair_sft,2,4,0.5,0
TRN-3312042D873F846B,A,base,0,4,0.0,
TRN-3312042D873F846B,A,initial_rl,0,4,0.0,0
TRN-3312042D873F846B,A,repair_sft,0,4,0.0,0
TRN-3313193DA515ED56,A,base,2,4,0.5,
TRN-3313193DA515ED56,A,initial_rl,1,4,0.25,0
TRN-3313193DA515ED56,A,repair_sft,3,4,0.75,0
TRN-332070BE625944E7,A,base,1,4,0.25,
TRN-332070BE625944E7,A,initial_rl,2,4,0.5,0
TRN-332070BE625944E7,A,repair_sft,2,4,0.5,0
TRN-3353EFE69F2C370D,A,base,1,4,0.25,
TRN-3353EFE69F2C370D,A,initial_rl,2,4,0.5,0
TRN-3353EFE69F2C370D,A,repair_sft,1,4,0.25,0
TRN-335C8CF59E16871A,A,base,1,4,0.25,
TRN-335C8CF59E16871A,A,initial_rl,2,4,0.5,0
TRN-335C8CF59E16871A,A,repair_sft,2,4,0.5,0
TRN-33A879EC30E4B401,A,base,2,4,0.5,
TRN-33A879EC30E4B401,A,initial_rl,3,4,0.75,0
TRN-33A879EC30E4B401,A,repair_sft,4,4,1.0,0
TRN-33E983B672DCD72B,A,base,2,4,0.5,
TRN-33E983B672DCD72B,A,initial_rl,3,4,0.75,0
TRN-33E983B672DCD72B,A,repair_sft,2,4,0.5,0
TRN-34BEC79B61F8C1F8,A,base,2,4,0.5,
TRN-34BEC79B61F8C1F8,A,initial_rl,2,4,0.5,0
TRN-34BEC79B61F8C1F8,A,repair_sft,4,4,1.0,0
TRN-34C943432F84B6E3,A,base,1,4,0.25,
TRN-34C943432F84B6E3,A,initial_rl,1,4,0.25,0
TRN-34C943432F84B6E3,A,repair_sft,3,4,0.75,0
TRN-34D9B1E0CE8AA379,A,base,2,4,0.5,
TRN-34D9B1E0CE8AA379,A,initial_rl,3,4,0.75,0
TRN-34D9B1E0CE8AA379,A,repair_sft,2,4,0.5,0
TRN-35204140A221ABB0,A,base,2,4,0.5,
TRN-35204140A221ABB0,A,initial_rl,3,4,0.75,0
TRN-35204140A221ABB0,A,repair_sft,4,4,1.0,0
TRN-353FDFE6D246CFCF,A,base,2,4,0.5,
TRN-353FDFE6D246CFCF,A,initial_rl,0,4,0.0,0
TRN-353FDFE6D246CFCF,A,repair_sft,3,4,0.75,0
TRN-36221B7BEC9C2C34,A,base,1,4,0.25,
TRN-36221B7BEC9C2C34,A,initial_rl,4,4,1.0,0
TRN-36221B7BEC9C2C34,A,repair_sft,3,4,0.75,0
TRN-3623EF94F1EDC173,A,base,2,4,0.5,
TRN-3623EF94F1EDC173,A,initial_rl,4,4,1.0,0
TRN-3623EF94F1EDC173,A,repair_sft,4,4,1.0,0
TRN-363443861BDE815F,A,base,1,4,0.25,
TRN-363443861BDE815F,A,initial_rl,3,4,0.75,0
TRN-363443861BDE815F,A,repair_sft,4,4,1.0,0
TRN-363ACD8957E1B673,A,base,1,4,0.25,
TRN-363ACD8957E1B673,A,initial_rl,3,4,0.75,0
TRN-363ACD8957E1B673,A,repair_sft,4,4,1.0,0
TRN-36D55BB367522E3A,A,base,1,4,0.25,
TRN-36D55BB367522E3A,A,initial_rl,2,4,0.5,0
TRN-36D55BB367522E3A,A,repair_sft,3,4,0.75,0
